bidderID;asin;bidorBuy;unixBidTime;bidTime
4005;43442;0.0;1618961377.0;21 Apr 2021 at 7:29:37am PDT
4005;43442;0.0;1618961355.0;21 Apr 2021 at 7:29:15am PDT
4005;43442;0.0;1618961348.0;21 Apr 2021 at 7:29:08am PDT
4005;43442;0.0;1618961338.0;21 Apr 2021 at 7:28:58am PDT
4005;43442;0.0;1618959361.0;21 Apr 2021 at 6:56:01am PDT
4005;43442;0.0;1618959347.0;21 Apr 2021 at 6:55:47am PDT
4005;43442;0.0;1618959337.0;21 Apr 2021 at 6:55:37am PDT
4005;43442;0.0;1618959324.0;21 Apr 2021 at 6:55:24am PDT
4005;43442;0.0;1618952746.0;21 Apr 2021 at 5:05:46am PDT
10210;19232;0.0;1621795936.0;24 May 2021 at 2:52:16pm PDT
7770;19232;0.0;1621792162.0;24 May 2021 at 1:49:22pm PDT
7770;19232;0.0;1621792158.0;24 May 2021 at 1:49:18pm PDT
7770;19232;0.0;1621792154.0;24 May 2021 at 1:49:14pm PDT
7770;19232;0.0;1621792150.0;24 May 2021 at 1:49:10pm PDT
7770;19232;0.0;1621792146.0;24 May 2021 at 1:49:06pm PDT
7770;19232;0.0;1621792141.0;24 May 2021 at 1:49:01pm PDT
7770;19232;0.0;1621792137.0;24 May 2021 at 1:48:57pm PDT
7770;19232;0.0;1621792125.0;24 May 2021 at 1:48:45pm PDT
7770;19232;0.0;1621792121.0;24 May 2021 at 1:48:41pm PDT
7770;19232;0.0;1621792116.0;24 May 2021 at 1:48:36pm PDT
7019;19232;0.0;1621897754.0;25 May 2021 at 7:09:14am PDT
7019;19232;0.0;1621897415.0;25 May 2021 at 7:03:35am PDT
7019;19232;0.0;1621792129.0;24 May 2021 at 1:48:49pm PDT
10571;39028;0.0;1620968386.0;14 May 2021 at 12:59:46pm PDT
10571;39028;0.0;1620968382.0;14 May 2021 at 12:59:42pm PDT
10571;39028;0.0;1620864084.0;13 May 2021 at 8:01:24am PDT
10571;39028;0.0;1620864078.0;13 May 2021 at 8:01:18am PDT
10571;39028;0.0;1620864073.0;13 May 2021 at 8:01:13am PDT
10571;39028;0.0;1620864066.0;13 May 2021 at 8:01:06am PDT
10571;39028;0.0;1620864060.0;13 May 2021 at 8:01:00am PDT
10571;39028;0.0;1620864055.0;13 May 2021 at 8:00:55am PDT
10571;39028;0.0;1620842815.0;13 May 2021 at 2:06:55pm PDT
10571;39028;0.0;1620682105.0;11 May 2021 at 5:28:25am PDT
10571;39028;0.0;1620682098.0;11 May 2021 at 5:28:18am PDT
10571;39028;0.0;1620682090.0;11 May 2021 at 5:28:10am PDT
10571;39028;0.0;1620682079.0;11 May 2021 at 5:27:59am PDT
10571;39028;0.0;1620327718.0;7 May 2021 at 3:01:58pm PDT
768;14815;0.0;1619215925.0;24 Apr 2021 at 6:12:05pm PDT
768;14815;0.0;1619215798.0;24 Apr 2021 at 6:09:58pm PDT
768;14815;0.0;1619215595.0;24 Apr 2021 at 6:06:35pm PDT
768;14815;0.0;1619215422.0;24 Apr 2021 at 6:03:42pm PDT
768;14815;0.0;1619215398.0;24 Apr 2021 at 6:03:18pm PDT
768;14815;0.0;1619215382.0;24 Apr 2021 at 6:03:02pm PDT
768;14815;0.0;1619215352.0;24 Apr 2021 at 6:02:32pm PDT
768;14815;0.0;1619215334.0;24 Apr 2021 at 6:02:14pm PDT
768;14815;0.0;1619215318.0;24 Apr 2021 at 6:01:58pm PDT
768;14815;0.0;1619215305.0;24 Apr 2021 at 6:01:45pm PDT
768;14815;0.0;1619215295.0;24 Apr 2021 at 6:01:35pm PDT
768;14815;0.0;1619215279.0;24 Apr 2021 at 6:01:19pm PDT
768;14815;0.0;1619215246.0;24 Apr 2021 at 6:00:46pm PDT
768;14815;0.0;1619126209.0;23 Apr 2021 at 5:16:49pm PDT
3147;67996;0.0;1620519658.0;9 May 2021 at 8:20:58am PDT
1871;67996;0.0;1620505382.0;9 May 2021 at 4:23:02pm PDT
1871;67996;0.0;1620505351.0;9 May 2021 at 4:22:31pm PDT
1871;67996;0.0;1620505349.0;9 May 2021 at 4:22:29pm PDT
1871;67996;0.0;1620418314.0;8 May 2021 at 4:11:54pm PDT
1871;67996;0.0;1620080836.0;4 May 2021 at 6:27:16am PDT
1871;67996;0.0;1620072498.0;4 May 2021 at 4:08:18am PDT
1871;67996;0.0;1620072475.0;4 May 2021 at 4:07:55am PDT
1871;67996;0.0;1620072473.0;4 May 2021 at 4:07:53am PDT
1871;67996;0.0;1620072471.0;4 May 2021 at 4:07:51am PDT
1871;67996;0.0;1620072468.0;4 May 2021 at 4:07:48am PDT
1871;67996;0.0;1620072466.0;4 May 2021 at 4:07:46am PDT
1871;67996;0.0;1620072461.0;4 May 2021 at 4:07:41am PDT
1662;67996;0.0;1620510442.0;9 May 2021 at 5:47:22pm PDT
5726;43857;0.0;1619757052.0;30 Apr 2021 at 12:30:52pm PDT
5726;43857;0.0;1619757044.0;30 Apr 2021 at 12:30:44pm PDT
5724;43857;0.0;1619757052.0;30 Apr 2021 at 12:30:52pm PDT
5724;43857;0.0;1619757044.0;30 Apr 2021 at 12:30:44pm PDT
1040;43857;0.0;1619810421.0;1 May 2021 at 3:20:21pm PDT
1038;43857;0.0;1619810421.0;1 May 2021 at 3:20:21pm PDT
375;43857;0.0;1619397175.0;26 Apr 2021 at 8:32:55am PDT
375;43857;0.0;1619397163.0;26 Apr 2021 at 8:32:43am PDT
375;43857;0.0;1619397155.0;26 Apr 2021 at 8:32:35am PDT
373;43857;0.0;1619397175.0;26 Apr 2021 at 8:32:55am PDT
373;43857;0.0;1619397163.0;26 Apr 2021 at 8:32:43am PDT
373;43857;0.0;1619397155.0;26 Apr 2021 at 8:32:35am PDT
262;43857;1.0;1619817606.0;1 May 2021 at 5:20:06pm PDT
262;43857;0.0;1619817099.0;1 May 2021 at 5:11:39pm PDT
12213;19315;0.0;1619208542.0;24 Apr 2021 at 4:09:02am PDT
12213;19315;0.0;1619208530.0;24 Apr 2021 at 4:08:50am PDT
12213;19315;0.0;1619208511.0;24 Apr 2021 at 4:08:31am PDT
7893;19315;0.0;1619207343.0;24 Apr 2021 at 3:49:03am PDT
7893;19315;0.0;1619201819.0;24 Apr 2021 at 2:16:59am PDT
7893;19315;0.0;1619201806.0;24 Apr 2021 at 2:16:46am PDT
2077;19315;0.0;1619208520.0;24 Apr 2021 at 4:08:40am PDT
2077;19315;0.0;1619208500.0;24 Apr 2021 at 4:08:20am PDT
2077;19315;0.0;1619208497.0;24 Apr 2021 at 4:08:17am PDT
2077;19315;0.0;1619208427.0;24 Apr 2021 at 4:07:07am PDT
2077;19315;0.0;1619208417.0;24 Apr 2021 at 4:06:57am PDT
2077;19315;0.0;1619208411.0;24 Apr 2021 at 4:06:51am PDT
2077;19315;0.0;1619208402.0;24 Apr 2021 at 4:06:42am PDT
2077;19315;0.0;1619208399.0;24 Apr 2021 at 4:06:39am PDT
10456;43931;1.0;1619920935.0;2 May 2021 at 10:02:15am PDT
10456;43931;1.0;1619920846.0;2 May 2021 at 10:00:46am PDT
10456;43931;0.0;1619920775.0;2 May 2021 at 9:59:35am PDT
10456;43931;0.0;1619919893.0;2 May 2021 at 9:44:53am PDT
10456;43931;0.0;1619919885.0;2 May 2021 at 9:44:45am PDT
10455;43931;1.0;1619920935.0;2 May 2021 at 10:02:15am PDT
10455;43931;1.0;1619920846.0;2 May 2021 at 10:00:46am PDT
10455;43931;0.0;1619920775.0;2 May 2021 at 9:59:35am PDT
10455;43931;0.0;1619919893.0;2 May 2021 at 9:44:53am PDT
10455;43931;0.0;1619919885.0;2 May 2021 at 9:44:45am PDT
7859;43931;0.0;1619920373.0;2 May 2021 at 9:52:53am PDT
7859;43931;0.0;1619920124.0;2 May 2021 at 9:48:44am PDT
7858;43931;0.0;1619920373.0;2 May 2021 at 9:52:53am PDT
7858;43931;0.0;1619920124.0;2 May 2021 at 9:48:44am PDT
13572;43943;0.0;1619923959.0;2 May 2021 at 10:52:39am PDT
13572;43943;0.0;1619923957.0;2 May 2021 at 10:52:37am PDT
13572;43943;0.0;1619923954.0;2 May 2021 at 10:52:34am PDT
13572;43943;0.0;1619923500.0;2 May 2021 at 10:45:00am PDT
13572;43943;0.0;1619923495.0;2 May 2021 at 10:44:55am PDT
9286;43943;1.0;1619924084.0;2 May 2021 at 10:54:44am PDT
9286;43943;1.0;1619924073.0;2 May 2021 at 10:54:33am PDT
9286;43943;1.0;1619923980.0;2 May 2021 at 10:53:00am PDT
9286;43943;0.0;1619923947.0;2 May 2021 at 10:52:27am PDT
9286;43943;0.0;1619923928.0;2 May 2021 at 10:52:08am PDT
9286;43943;0.0;1619916524.0;2 May 2021 at 8:48:44am PDT
9286;43943;0.0;1619411307.0;26 Apr 2021 at 12:28:27pm PDT
9286;43943;0.0;1619411301.0;26 Apr 2021 at 12:28:21pm PDT
9286;43943;0.0;1619411296.0;26 Apr 2021 at 12:28:16pm PDT
14601;1955;0.0;1620346327.0;7 May 2021 at 8:12:07am PDT
13488;1955;0.0;1620348153.0;7 May 2021 at 8:42:33am PDT
13488;1955;0.0;1620247893.0;6 May 2021 at 4:51:33pm PDT
10056;1955;0.0;1620353746.0;7 May 2021 at 10:15:46am PDT
9747;1955;0.0;1620362738.0;7 May 2021 at 12:45:38pm PDT
9747;1955;0.0;1620360504.0;7 May 2021 at 12:08:24pm PDT
9747;1955;0.0;1620360493.0;7 May 2021 at 12:08:13pm PDT
9747;1955;0.0;1620360463.0;7 May 2021 at 12:07:43pm PDT
9747;1955;0.0;1620360454.0;7 May 2021 at 12:07:34pm PDT
9747;1955;0.0;1620360339.0;7 May 2021 at 12:05:39pm PDT
9747;1955;0.0;1620360327.0;7 May 2021 at 12:05:27pm PDT
9747;1955;0.0;1620354013.0;7 May 2021 at 10:20:13am PDT
9747;1955;0.0;1620349429.0;7 May 2021 at 9:03:49am PDT
9747;1955;0.0;1620349426.0;7 May 2021 at 9:03:46am PDT
3197;14679;0.0;1619386043.0;26 Apr 2021 at 5:27:23pm PDT
3197;14679;0.0;1619321381.0;25 Apr 2021 at 11:29:41am PDT
3197;14679;0.0;1619321379.0;25 Apr 2021 at 11:29:39am PDT
3197;14679;0.0;1619306324.0;25 Apr 2021 at 7:18:44pm PDT
3197;14679;0.0;1619218893.0;24 Apr 2021 at 7:01:33pm PDT
3197;14679;0.0;1619218890.0;24 Apr 2021 at 7:01:30pm PDT
3197;14679;0.0;1619218466.0;24 Apr 2021 at 6:54:26pm PDT
3197;14679;0.0;1619218464.0;24 Apr 2021 at 6:54:24pm PDT
3197;14679;0.0;1619218461.0;24 Apr 2021 at 6:54:21pm PDT
3197;14679;0.0;1619218459.0;24 Apr 2021 at 6:54:19pm PDT
3197;14679;0.0;1619218457.0;24 Apr 2021 at 6:54:17pm PDT
3197;14679;0.0;1619128235.0;23 Apr 2021 at 5:50:35pm PDT
3197;14679;0.0;1619128232.0;23 Apr 2021 at 5:50:32pm PDT
3197;14679;0.0;1618872633.0;20 Apr 2021 at 6:50:33pm PDT
13314;16458;0.0;1621805326.0;24 May 2021 at 5:28:46am PDT
7601;16458;0.0;1621800919.0;24 May 2021 at 4:15:19am PDT
7601;16458;0.0;1621800915.0;24 May 2021 at 4:15:15am PDT
7601;16458;0.0;1621800913.0;24 May 2021 at 4:15:13am PDT
7601;16458;0.0;1621800910.0;24 May 2021 at 4:15:10am PDT
